ASV_ID,SIM01_V1,SIM01_V2,SIM01_V3,SIM02_V1,SIM02_V2,SIM02_V3,SIM03_V2,SIM03_V3,SIM04_V1,SIM04_V2,SIM04_V3,SIM05_V1,SIM05_V2,SIM05_V3,SIM06_V1,SIM06_V2,SIM06_V3,SIM07_V1,SIM07_V2,SIM07_V3,SIM08_V1,SIM08_V2,SIM08_V3,SIM09_V1,SIM09_V2,SIM09_V3,SIM10_V1,SIM10_V2,SIM10_V3
ASV0044,63,1,528,22,48,98,179,96,519,660,221,70,31,6,24,405,751,225,150,134,136,228,289,417,135,85,349,23,179
ASV0045,0,204,0,221,219,441,7,98,4,79,47,0,7,811,119,19,521,17,203,18,4,0,61,1,0,0,125,0,7
ASV0046,0,0,0,1,0,1,0,4,2,17,104,0,0,0,1,0,0,1,0,0,18,0,0,0,0,0,0,0,2
ASV0047,4,31,0,13,0,17,13,444,0,477,0,0,13,0,21,32,10,0,0,5,0,6,5,0,0,0,0,0,0
ASV0048,14,21,111,72,18,337,306,153,62,274,0,4,4,25,1031,21,174,30,371,103,77,8,12,394,37,0,243,336,7
ASV0049,4,3,10,541,55,0,14,94,91,541,84,0,0,18,55,632,0,493,4,1,163,101,0,66,501,189,0,58,124
ASV0050,1,0,143,5,127,25,198,72,651,18,14,171,157,299,80,95,511,50,1,144,6,104,760,50,83,115,309,1,487
ASV0051,0,15,0,0,2,1,14,0,0,15,0,139,5,0,24,78,0,0,0,4,191,204,2,0,75,0,0,0,2
ASV0052,896,343,10,34,30,26,4,189,161,244,234,227,282,231,1,8,192,32,730,96,317,4,10,2,281,94,11,106,422
ASV0053,505,48,297,1,7,4,0,659,22,84,0,4,2,1,1,1,0,205,76,4,16,134,820,22,0,49,1,3,77
ASV0054,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0
ASV0055,0,6,2,0,1156,0,1,19,863,3,72,13,0,1,63,37,0,40,4,5,0,0,0,2,234,0,189,1,0
ASV0056,0,10,0,8,3,1,11,0,55,0,0,7,0,55,1,0,0,110,101,215,0,0,353,226,437,0,0,3,0
ASV0057,13,0,0,0,0,0,1,0,0,2,1,0,0,17,1,196,0,0,3,0,0,44,0,0,0,0,0,0,0
ASV0058,141,0,2,1,22,1,1,114,402,0,0,19,259,2,0,349,258,30,134,0,0,17,2,0,7,11,1,5,0
ASV0059,163,0,551,0,309,9,0,0,0,7,0,0,0,0,35,55,0,0,3,0,0,0,36,0,0,0,1,0,0
ASV0060,8,87,0,1,6,0,1,3,44,3,7,11,0,976,304,355,0,36,0,90,5,0,12,67,72,0,43,0,2
ASV0061,0,0,0,1,11,0,170,159,31,1,61,55,6,33,0,0,4,0,8,0,1,7,1,0,19,55,21,90,4
ASV0062,0,0,0,102,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57,0,0,35,0,0,0
ASV0063,280,2,114,8,281,1,61,0,193,551,0,10,496,180,54,64,0,83,55,3,2,71,12,0,314,0,0,24,60
ASV0064,479,107,263,14,78,4,64,1273,398,190,5,1,74,183,73,35,35,86,5,3,107,17,553,130,4,30,361,1032,245
ASV0065,91,22,796,42,108,6,2,1,23,26,0,275,0,38,451,104,0,74,393,29,208,3,402,11,53,60,991,438,221
ASV0066,0,0,4,3,8,0,0,2,0,0,0,7,162,337,3,31,26,18,0,4,0,0,0,0,0,0,9,0,23
ASV0067,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,58,24,0,0,0,4,0,0,0,0,0,0
ASV0068,0,8,0,1,49,0,3,0,81,62,1,0,0,0,0,0,0,0,67,0,3,0,0,43,40,58,0,0,0
ASV0069,6,13,401,266,21,137,0,6,431,325,6,0,1,1,0,2,2,0,107,0,2,4,0,0,62,112,3,49,0
ASV0070,90,66,0,10,47,0,2,240,14,0,0,85,1,100,76,465,12,100,774,0,664,0,32,0,10,0,0,1,103
ASV0071,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,5,0,0,0,0
ASV0072,5,0,2,0,2,599,502,29,81,0,10,6,35,2,92,16,5,2,1,190,8,0,0,0,0,36,12,241,15
ASV0073,2,0,0,33,0,0,0,2,0,0,134,59,0,2,58,8,10,0,0,0,0,13,142,4,0,14,0,0,64
ASV0074,60,0,4,0,0,124,0,0,0,7,295,7,86,2,0,0,232,0,19,0,0,0,1,0,1,208,23,0,3
ASV0075,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,374,0,0,0,0,0,0,0,0,13,0,0,3,0
ASV0076,36,0,317,3,93,0,59,177,11,202,144,1,346,0,62,0,0,6,19,0,12,3,0,2,3,32,117,29,3
ASV0077,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,66
ASV0078,188,0,254,0,361,1,0,130,0,0,33,0,0,806,25,0,0,30,6,12,145,8,37,0,18,0,0,0,0
ASV0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0
ASV0080,21,120,9,124,0,34,47,5,0,0,0,2,14,60,120,1,76,69,115,27,0,11,41,28,19,32,95,713,5
ASV0081,0,0,0,1,0,7,0,364,0,0,2,8,0,82,1,1,27,22,0,0,0,25,3,0,123,0,0,0,0
ASV0082,1,0,210,29,139,0,977,116,4,44,3,202,0,51,1,10,0,0,50,16,0,5,28,110,222,144,0,10,1
ASV0083,7,0,56,0,0,93,1,0,2,10,0,21,1,0,0,78,0,0,268,0,0,0,114,12,0,0,0,0,3
ASV0084,635,17,69,40,6,30,4,63,28,10,67,648,6,305,79,122,3,254,110,172,2,162,213,437,29,38,367,47,1
ASV0085,28,1166,0,58,336,33,0,1,28,2,0,45,2,3,57,212,189,0,4,46,22,0,17,212,118,0,0,87,0
ASV0086,1,335,0,13,2,0,681,5,0,0,0,120,1,164,1,16,174,0,0,66,0,0,8,891,0,1,0,177,1065
ASV0087,285,517,355,98,30,481,355,170,876,56,486,301,388,149,1558,61,253,575,207,496,150,88,364,201,191,343,499,128,200
ASV0088,0,2,20,0,0,317,0,653,56,0,0,52,0,0,0,0,2,0,4,0,1,40,0,0,0,0,1,190,0
ASV0089,31,269,0,46,123,356,115,7,23,31,616,63,96,18,605,9,366,61,387,234,30,153,20,1,95,114,33,1039,26
ASV0090,1,0,53,1,11,0,356,167,0,0,73,20,703,6,0,0,11,211,0,115,1,19,3,21,13,185,20,0,1
ASV0091,20,6,137,0,81,0,0,21,0,0,0,0,0,20,0,0,0,0,0,6,0,0,0,26,0,0,6,59,9
ASV0092,129,522,545,226,737,170,186,1504,304,393,211,87,122,104,588,510,383,146,1010,2055,248,223,193,963,1341,648,242,66,7
ASV0093,0,46,0,0,0,0,0,3,0,0,19,0,0,0,0,23,0,0,0,0,102,0,14,4,0,0,0,0,0
ASV0094,1,15,18,2,68,10,33,797,42,155,140,29,91,3,56,29,1,50,3,13,376,108,17,204,3,135,184,9,0
ASV0095,0,0,0,66,0,0,3,0,0,0,0,6,0,14,0,0,25,0,251,12,0,0,0,20,0,0,0,0,4
ASV0096,19,0,32,145,166,102,0,780,88,409,370,20,9,30,589,273,127,0,36,11,0,31,26,71,418,0,0,149,296
ASV0097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,6,0,0
ASV0098,0,0,20,0,8,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0099,0,0,0,0,288,0,0,10,0,3,0,0,0,0,0,45,0,0,0,74,0,0,0,0,53,0,0,0,0
ASV0100,0,0,0,0,28,0,0,0,1,0,66,90,17,25,2,0,0,0,0,0,0,0,21,38,0,1,0,0,0
ASV0101,0,0,11,204,0,0,1,0,4,623,2,0,0,168,108,0,50,0,0,0,2,0,6,0,2,0,21,174,0
ASV0102,4,0,0,57,452,1,816,0,41,510,432,132,74,39,15,17,58,0,8,8,28,1,24,2,0,1,2,358,5
ASV0103,18,7,0,0,188,0,355,70,44,119,403,2,9,17,15,0,11,0,0,3,16,1,0,566,2,150,155,0,0
ASV0104,0,0,0,0,0,0,0,0,0,23,178,0,0,0,0,114,0,0,0,1,0,0,3,0,0,13,0,0,0
ASV0105,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,10,0,0,0,0,107,0,0,0,0,0,0,0,0
ASV0106,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0108,0,0,33,1,0,14,0,36,0,0,0,0,86,5,0,0,0,1,0,0,0,0,0,0,116,83,1,0,0
ASV0109,7,6,0,41,170,0,79,105,12,3,0,19,342,0,104,332,38,3,7,328,0,34,217,111,526,30,297,62,0
ASV0110,3,7,24,0,0,69,0,53,168,70,2,0,7,13,0,0,239,6,351,0,9,202,0,3,0,0,4,6,0
ASV0111,3,162,698,233,130,0,1,135,27,0,23,33,1,20,85,3,50,40,117,11,56,0,439,1,0,2,29,1,112
ASV0112,0,0,62,0,0,1,0,0,0,8,0,0,0,0,0,228,7,0,96,14,0,0,45,0,0,0,351,0,1
ASV0113,72,0,0,0,2,0,0,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,0,0
ASV0114,0,0,0,0,5,16,0,0,0,2,0,0,0,0,65,29,0,0,0,5,101,164,94,7,0,0,0,0,0
ASV0115,64,1,16,196,594,6,0,106,538,106,59,108,661,71,3,591,3,665,1306,34,94,449,41,281,314,309,155,25,45
ASV0116,41,0,0,0,0,129,0,0,5,47,0,0,0,0,0,36,24,2,0,111,0,0,0,1,5,0,0,0,0
ASV0117,18,23,123,591,20,385,213,35,18,42,37,73,0,0,93,5,61,96,163,88,394,522,219,1732,401,56,283,2,601
ASV0118,109,166,132,358,321,131,668,377,55,298,135,0,28,0,92,93,1,9,153,14,171,28,87,180,55,113,0,56,762
ASV0119,538,138,1424,46,384,503,5,94,553,536,734,109,564,655,786,268,140,11,750,1054,173,6,15,13,121,137,3,205,1376
ASV0120,22,0,86,0,113,0,0,0,41,0,0,0,2,0,1,0,85,49,5,0,182,12,0,0,0,0,1,2,30
ASV0121,156,122,29,89,487,600,40,14,80,3,249,514,1,692,168,210,0,536,196,1081,189,60,127,88,2,587,25,5,162
ASV0122,2,0,0,0,0,0,94,0,523,0,11,0,0,1,17,0,0,1,0,11,0,19,1,0,0,1,128,0,0
ASV0123,13,12,181,0,340,0,0,0,0,168,264,0,26,0,26,40,28,0,46,0,0,0,244,261,16,391,628,0,59
ASV0124,4,10,0,2,106,35,288,279,51,18,0,1,12,24,4,5,28,17,0,29,0,76,0,0,20,0,117,0,67
ASV0125,95,1,12,0,0,0,27,0,0,0,0,0,0,5,0,0,1,0,5,0,0,0,0,0,0,0,0,20,0
ASV0126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,72,0,0,0,0
ASV0127,1,0,3,5,0,4,54,1,0,80,19,5,0,0,10,50,1,3,66,0,6,0,4,120,0,223,0,158,2
ASV0128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0
ASV0129,0,11,2,23,0,1,6,0,51,386,0,3,0,413,147,823,0,9,2,8,40,80,91,143,1297,59,0,0,0
ASV0130,55,499,532,0,116,515,394,0,5,141,1,0,452,0,90,0,181,47,1,841,15,0,0,6,8,342,0,150,68
ASV0131,20,10,0,1,1,21,0,0,4,0,0,0,0,554,489,2,0,0,0,3,0,0,0,76,0,0,0,0,7
ASV0132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ASV0133,731,18,603,142,3,67,10,172,160,181,134,754,372,100,123,331,74,60,359,114,143,15,34,236,105,16,48,7,401
ASV0134,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0
ASV0135,0,0,3,56,43,0,120,2,154,34,9,338,10,1,4,0,1,61,46,885,198,1855,0,55,858,61,151,6,14
ASV0136,235,8,1,103,0,0,5,0,267,0,0,1,0,0,30,0,13,8,64,2,0,2,157,10,2,0,0,231,93
ASV0137,2,322,5,1,0,2,14,0,12,337,34,111,39,0,470,43,4,689,0,5,108,173,0,4,71,69,18,11,0
ASV0138,25,62,78,318,12,258,299,91,284,238,7,84,325,302,3,1025,65,45,7,331,108,108,318,114,25,79,454,627,163
ASV0139,1,1,1,33,0,60,2,0,24,9,0,0,11,60,0,0,314,8,0,16,2,10,10,0,75,1,1,0,0
ASV0140,879,631,1045,230,989,1,249,343,803,447,157,90,305,1229,165,946,356,67,734,167,1124,446,700,232,1768,861,966,869,1044
ASV0141,0,4,1,16,0,413,15,26,40,267,2,1,36,38,9,68,12,140,410,18,698,11,10,274,15,41,4,332,0
ASV0142,0,8,0,0,0,0,2,0,0,819,4,0,19,0,0,0,0,0,93,0,20,4,0,0,264,0,0,1,0
ASV0143,0,108,0,9,0,1,0,0,0,1,0,0,0,21,0,4,154,0,20,0,54,29,0,799,0,4,116,0,11
ASV0144,29,154,341,508,42,146,129,87,58,294,30,31,1018,180,57,54,9,19,711,594,97,652,4,431,114,435,276,98,87
ASV0145,958,0,1,0,205,0,14,0,1,0,0,0,0,0,40,8,0,0,0,0,1,428,182,0,36,0,0,48,0
ASV0146,0,0,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0147,0,290,42,64,88,1,10,3,102,8,42,14,40,438,1,549,2,1,188,64,17,68,0,200,565,356,52,287,123
ASV0148,11,313,1,0,0,0,0,25,31,35,0,0,0,0,0,20,0,0,0,21,0,0,0,91,0,2,0,9,1
ASV0149,0,11,0,0,0,7,43,0,0,0,183,7,0,221,34,0,0,82,3,0,0,69,0,0,0,36,219,1,0
ASV0150,0,0,0,0,31,1,0,0,0,171,0,57,0,1,0,0,0,3,0,0,0,65,0,0,0,0,0,0,5
ASV0151,131,612,0,91,270,208,1037,2,142,519,187,107,411,138,19,52,106,96,22,649,6,81,197,110,776,18,1106,608,263
ASV0152,168,54,48,15,120,179,32,533,43,196,140,386,46,38,21,10,115,5,858,5,30,25,5,830,174,21,167,348,26
ASV0153,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0
ASV0154,184,0,0,86,543,45,12,19,0,2,0,82,0,0,22,11,39,0,0,0,0,0,0,0,0,0,9,0,10
ASV0155,219,83,62,0,143,0,40,131,16,71,0,143,13,129,22,0,0,2,136,110,30,22,1,17,5,1,11,186,53
ASV0156,0,2,3,1,6,0,83,0,13,0,13,0,6,1,27,33,184,264,0,1,0,6,29,0,0,2,0,12,8
ASV0157,0,0,4,0,4,0,0,0,16,0,0,0,0,0,44,0,0,0,0,0,3,105,0,0,0,0,0,0,0
ASV0158,0,6,5,19,0,588,140,19,585,0,15,0,0,1002,261,103,2,7,44,1,12,119,121,16,1280,0,27,48,0
ASV0159,235,85,28,17,1208,757,348,4,684,725,93,55,597,112,636,127,13,566,276,17,838,49,33,949,20,2,87,1150,98
ASV0160,173,287,243,30,14,86,1663,367,48,122,38,724,274,54,53,88,421,270,87,4,4,569,424,74,73,161,22,292,355
ASV0161,61,259,2441,66,10,6,9,380,76,1258,360,31,614,736,20,487,867,33,13,425,55,20,343,235,495,4,6,351,27
ASV0162,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67,0,0,0,0,0,4,0
ASV0163,0,2,33,153,0,0,0,19,30,225,0,982,0,6,0,2,0,850,0,0,0,210,0,2,1,12,0,57,8
ASV0164,0,0,214,51,0,0,24,0,10,5,11,5,0,1,0,0,39,0,589,0,63,0,250,0,143,19,94,64,44
ASV0165,53,84,94,98,180,56,72,62,21,21,37,14,102,332,169,56,241,5,97,625,26,38,20,222,82,289,125,148,739
ASV0166,0,2,3,147,0,24,0,35,0,879,0,0,0,0,0,63,17,0,3,68,0,0,0,20,73,0,187,0,0
ASV0167,230,53,110,120,180,38,73,357,150,29,12,3,103,57,171,0,0,55,20,2,114,2,157,8,579,177,7,159,69
ASV0168,1,6,0,2,0,0,75,1,0,0,5,0,0,0,0,0,8,0,52,0,1,0,1,0,0,0,0,166,0
ASV0169,1,29,1419,6,228,35,192,152,20,195,4,0,434,187,103,0,8,108,18,12,0,3,1,0,22,0,593,12,10
ASV0170,0,6,0,0,0,76,0,0,100,0,8,0,0,0,0,0,0,0,0,31,0,0,20,0,0,0,0,0,5
ASV0171,33,19,0,86,162,6,0,30,3,33,18,8,674,0,575,276,0,2,4,10,73,2,16,11,166,952,115,229,208
ASV0172,1,0,70,204,447,81,63,138,91,94,137,47,4,40,2,4,28,1015,20,0,84,153,1,3,283,9,67,226,5
ASV0173,424,0,0,183,64,4,16,135,109,22,114,14,328,10,71,290,0,25,204,0,0,622,193,66,38,201,14,19,8
ASV0174,599,7,0,8,186,130,0,0,30,0,0,284,0,0,0,128,12,0,28,48,2,6,48,4,0,0,0,1,16
ASV0175,237,50,1,0,0,0,0,4,0,5,0,0,15,224,0,0,0,0,0,13,0,1,7,0,46,0,639,0,0
ASV0176,23,46,1,45,1,390,0,193,21,20,107,26,0,381,0,0,52,3,0,75,1,0,0,2,35,0,5,141,2
ASV0177,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,61,0,0,0,0,0,0
ASV0178,15,0,3,0,0,0,234,132,0,0,2,6,0,0,0,1,0,236,1,0,0,0,0,1,2,0,14,0,0
ASV0179,6,0,0,0,0,0,0,0,0,7,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,13,54,0
ASV0180,16,12,18,31,183,10,17,1,12,138,88,0,83,38,792,13,336,96,800,0,13,0,324,13,0,16,3,241,9
ASV0181,548,11,55,174,670,92,616,70,130,196,77,73,124,160,458,361,19,786,66,189,109,91,458,174,13,211,373,242,91
ASV0182,0,299,6,364,22,16,1142,0,5,57,242,0,267,85,1,1,161,0,4,26,459,116,200,1,609,427,14,274,0
ASV0183,236,29,231,851,38,35,16,155,433,455,32,65,728,483,126,14,202,103,176,85,116,50,1460,86,212,226,131,152,133
ASV0184,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,41,0,0,0,37,0,0,0,0,0,0
ASV0185,42,186,4,92,0,77,0,0,23,21,6,5,55,0,491,3,21,0,2,18,89,0,0,1099,0,5,1,198,30
ASV0186,0,0,0,1,5,0,0,149,21,346,4,0,0,0,0,100,0,1,25,0,0,16,53,15,0,0,0,0,0
ASV0187,5,88,14,95,27,0,0,1811,0,224,6,0,319,0,4,0,22,0,0,1,0,2,5,7,0,55,193,4,19
ASV0188,0,3,268,0,0,0,0,0,0,0,103,0,0,0,8,0,0,76,0,0,250,0,4,0,4,0,0,0,0
ASV0189,13,275,0,10,0,0,0,0,0,16,0,88,0,0,40,2,98,0,22,61,78,87,521,11,29,0,414,0,0
ASV0190,3,9,37,0,3,5,474,38,5,0,0,5,0,43,57,12,121,515,0,0,60,0,1,2,0,77,87,0,1
ASV0191,38,50,1066,60,115,173,0,0,0,0,1,89,131,1041,24,0,111,27,215,72,54,15,10,1036,0,19,0,0,53
ASV0192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,19,0,0,0,0,0,0,0,0
ASV0193,563,703,32,34,3,6,303,8,7,1,30,0,622,0,36,93,24,35,367,0,382,0,11,31,69,0,187,0,117
ASV0194,0,0,0,0,0,36,0,0,0,0,0,0,0,139,0,85,0,0,3,0,155,0,0,0,0,14,0,0,1
ASV0195,22,6,33,63,2,274,8,0,31,455,383,63,30,199,40,189,29,44,270,31,392,12,250,22,22,13,27,904,62
ASV0196,42,45,89,52,32,32,59,15,9,5,214,11,0,190,13,16,94,54,89,280,602,112,75,0,265,207,10,24,1067
ASV0197,46,514,113,11,140,0,274,40,0,8,0,11,45,62,0,0,406,13,133,67,47,13,0,0,240,27,133,23,77
ASV0198,33,0,63,3,0,8,1,3,0,0,0,0,0,0,1,0,0,2,64,171,19,0,0,0,2,80,0,1,0
ASV0199,1,245,32,0,22,31,180,65,588,170,41,27,351,3,18,4,6,611,14,56,66,0,40,174,0,169,5,48,60
ASV0200,20,0,7,0,0,0,411,33,0,4,0,0,31,0,58,176,0,261,286,0,0,8,0,0,0,1,54,2,107
