pathway,SIM01_V1,SIM01_V2,SIM01_V3,SIM02_V1,SIM02_V2,SIM02_V3,SIM03_V2,SIM03_V3,SIM04_V1,SIM04_V2,SIM04_V3,SIM05_V1,SIM05_V2,SIM05_V3,SIM06_V1,SIM06_V2,SIM06_V3,SIM07_V1,SIM07_V2,SIM07_V3,SIM08_V1,SIM08_V2,SIM08_V3,SIM09_V1,SIM09_V2,SIM09_V3,SIM10_V1,SIM10_V2,SIM10_V3
fatty acid beta-oxidation I,2757.191,7155.8,7454.117,2495.221,6071.477,5299.737,4088.336,0,5623.047,2029.326,1622.23,6526.297,5510.214,10724.58,8251.321,8345.615,4788.588,5750.614,5784.583,10496.907,4925.009,2688.219,7589.301,2557.403,6668.578,11379.527,4759.584,3887.323,2992.342
fatty acid biosynthesis initiation I,2492.554,2084.641,6606.836,4864.498,1441.312,7055.703,3745.05,4344.269,3043.757,9344.763,9400.884,10612.53,5567.329,5365.199,1513.345,4355.355,7841.908,5234.114,6227.286,6642.421,2049.392,7881.268,4464.845,5958.424,7529.713,8099.715,4479.976,4805.227,4615.379
acetyl-CoA fermentation to butyrate II,91.209,4330.468,8240.829,4069.297,3817.963,2763.119,6058.253,5172.135,7281.042,7338.86,6177.304,3887.021,6551.374,4142.464,6619.502,0,5399.333,143.918,7864.953,9926.094,9506.833,10049.56,986.395,0,2704.424,5919.655,2141.993,5740.477,5380.494
L-glutamate degradation V,6251.69,2584.721,4423.197,2658.881,4604.671,8808.078,3329.614,4576.304,8076.01,6027.417,4803.115,5838.376,7720.975,2183.65,1062.263,5033.075,1212.326,4605.484,3886.065,2411.53,3966.58,3951.731,8425.618,3988.237,1955.001,8228.314,7378.758,4812.696,5296.025
purine nucleotides de novo biosynthesis II,7027.159,8602.076,5467.501,4241.602,6773.287,5510.847,552.865,429.692,7085.146,7618.489,3530.822,7065.714,7823.066,10571.445,5995.373,0,2143.705,4854.58,4648.97,2536.255,4191.11,1555.574,8397.521,10199.509,10330.173,5658.279,4206.37,5526.411,3548.96
UMP biosynthesis I,2574.36,5746.911,4905.489,6700.289,2931.511,6070.255,8106.463,9394.099,3245.945,4626.119,6380.126,3472.3,9598.815,3496.556,3550.632,4400.359,8234.361,4600.658,8538.368,6035.09,2614.991,4838.565,5765.802,6990.106,7430.161,9182.542,1031.566,2453.048,2563.571
peptidoglycan biosynthesis I,0,1052.266,6439.469,3612.925,3560.944,4311.546,2261.11,0,9034.807,9540.105,2246.289,0,5406.682,5697.033,3546.059,7304.309,7266.892,2988.168,10682.579,7863.872,3259.862,5037.752,4456.222,2410.387,7047.523,793.967,3094.916,3617.668,0
lipid A-core biosynthesis,4425.404,7296.501,5457.456,6810.663,4607.811,7604.721,7049.364,1448.817,5379.995,7695.214,7141.265,774.571,1563.031,4421.101,10348.788,8341.447,5131.162,7141.903,5126.026,6481.369,2589.583,4465.761,4952.844,5280.792,4927.919,4961.663,1435.296,7130.236,4230.595
adenosine nucleotides de novo biosynthesis,4709.478,9938.57,2437.539,1986.916,7364.61,7769.977,5599.678,6429.791,8137.89,5379.389,5295.75,10119.841,6896.163,6325.787,5714.173,6306.065,8794.549,9833.147,6213.409,2590.665,5100.353,7940.581,1940.737,933.285,10109.104,0,8033.932,1589.928,5835.641
CMP-sialic acid biosynthesis,6749.411,0,3186.7,2944.994,11193.261,2016.772,3497.473,0,5930.056,7643.598,4571.097,3893.744,5036.394,5291.073,8018.416,6689.109,3512.233,7661.752,0,8109.338,6450.98,5367.455,5060.646,0,720.685,3742.732,9725.374,7889.004,5800.377
cobalamin biosynthesis,5733.419,2599.968,3901.937,4229.889,1586.288,4069.419,6604.343,7423.42,9371.862,8713.728,4969.435,10271.842,1598.853,4967.377,261.028,6080.133,291.003,2495.856,0,4374.197,4485.951,5114.594,3122.429,2711.752,10772.928,4824.318,5059.785,1384.349,6452.16
riboflavin biosynthesis I,2628.595,6166.858,5063.655,4191.216,3339.442,4144.252,6888.117,3736.363,7367.432,1895.869,0,3295.479,141.686,2548.638,8300.341,4677.278,4496.827,6137.067,261.952,719.582,4873.553,4603.793,5198.221,5123.374,7596.539,9256.557,5368.129,809.852,811.034
folate biosynthesis VI,4268.549,7268.563,7403.247,4969.399,729.506,1682.159,6104.719,4021.573,12288.732,2293.5,5496.027,5851.97,7073.965,2497.219,5083.202,5653.903,4797.317,7239.369,1777.579,7204.754,5634.679,6957.547,6613.041,2543.321,6680.603,5141.981,7645.172,2863.136,3704.473
MetaCyc-pathway-026,5478.614,7562.829,10072.869,4142.196,3142.071,1417.47,15031.785,2138.351,3346.757,6607.148,5629.71,13140.698,0,10665.185,4123.214,6573.088,1728.352,6688.73,1181.048,7823.521,4755.75,1698.621,9346.038,4313.331,7579.107,6219.577,512.119,4744.448,6592.903
MetaCyc-pathway-027,10192.581,7936.903,1698.109,3694.039,8474.294,5902.436,8159.939,754.452,7568.952,4694.152,4321.76,3146.96,4213.153,5359.744,6155.942,7445.072,2852.653,6709.907,348.209,5365.736,4996.852,4384.098,5036.58,7754.628,5222.939,6278.669,8198.28,5115.771,5355.402
MetaCyc-pathway-028,4783.229,9447.273,8926.411,6982.769,11040.621,6666.311,5564.088,7062.664,5096.715,5755.773,6575.885,4165.933,5648.19,9262.11,3024.787,2143.052,2984.816,4948.75,7252.52,10061.273,4207.364,5159.043,5550.238,5874.193,6064.425,1040.371,0,651.547,1381.966
MetaCyc-pathway-029,529.901,2744.994,3085.104,4913.829,6933.564,2863.508,1318.574,1689.513,2084.108,4152.74,2490.438,3718.511,7814.315,4860.116,3819.274,6945.427,6184.145,9471.029,1127.111,7682.643,9835.086,1419.546,5149.443,8151.141,1743.052,3223.506,8434.235,8319.23,2821.707
MetaCyc-pathway-030,2685.814,2822.145,0,9911.598,5013.854,7605.958,7591.613,2923.203,1526.844,7224.638,3283.247,2801.241,11401.277,8470.111,9501.412,8815.028,4809.522,6070.398,2835.595,8489.655,1257.25,6131.766,2110.078,5568.135,5886.954,8243.746,10310.26,2678.2,4870.973
MetaCyc-pathway-031,1001.469,4358.334,5995.831,6956.588,9236.352,6731.615,3135.148,6211.159,1461.895,9321.052,5311.732,5791.78,4879.555,3973.67,0,6320.733,6072.829,4960.088,7774.675,11940.629,8583.414,7137.919,4997.901,810.028,0,5241.845,6692.225,4882.634,4996.649
MetaCyc-pathway-032,5920.888,7774.907,6601.384,5212.508,1784.048,3053.935,4854.104,6330.106,4305.382,0,8986.074,3398.093,1700.89,7806.055,4062.611,0,7394.785,3246.026,10159.928,4376.887,7118.527,2386.075,4870.268,3818.312,2612.244,6043.77,0,7659.484,2806.408
MetaCyc-pathway-033,5821.493,0,4940.267,6721.309,9244.978,4598.009,10679.667,8242.874,6632.701,2153.281,7764.038,6779.541,6531.61,5387.878,6699.785,6968.38,8262.315,4513.161,7701.102,5656.476,2249.113,5024.952,7213.925,0,3357.482,2232.6,3747.897,3028.092,6280.928
MetaCyc-pathway-034,7843.025,7514.597,5730.654,0,1206.625,5563.565,3277.611,7307.749,2254.958,4854.339,5190.306,7950.404,1119.811,5019.081,705.639,358.544,8032.1,1529.425,0,5026.527,2545.358,423.593,6092.23,6392.319,9260.923,3353.621,5516.093,5852.591,5882.197
MetaCyc-pathway-035,4462.685,3995.704,5150.861,6818.944,7312.498,7457.903,3238.867,2022.083,5213.937,4799.874,6946.252,6782.797,1937.337,2488.991,2574.952,8213.42,5798.489,9867.725,3492.622,2661.015,4390.861,6975.585,5696.558,6383.61,4467.672,5483.468,3821.749,0,4498.997
MetaCyc-pathway-036,4680.096,4147.472,4168.478,2106.151,9137.741,2478.224,0,5151.137,6848.702,0,7603.373,9206.069,6302.305,8041.536,7003.34,6042.224,7574.502,7141.824,2518.099,4804.68,6101.858,4767.991,2158.559,7539.974,7924.253,4962.092,4095.286,6473.335,10728.652
MetaCyc-pathway-037,9409.527,1886.326,4423.933,4750.226,3849.231,6497.614,5747.392,10269.333,4192.924,2467.899,4556.003,677.337,5620.445,0,4022.369,6551.461,1435.756,4375.674,7101.447,10244.606,4219.532,5161.219,5933.661,5302.742,4568.463,582.831,8507.017,5136.915,4646.905
MetaCyc-pathway-038,196.069,2111.143,3409.911,12251.447,705.391,2817.918,5449.5,5760.156,5411.152,8623.542,8063.554,3904.429,3355.487,6772.192,4277.403,1007.163,5499.531,7827.515,3697.98,4522.107,2684.093,6763.664,5317.464,6500.289,10762.562,5009.454,8774.852,2511.912,7118.915
MetaCyc-pathway-039,2164.916,10483.966,5294.507,6703.014,3863.953,4429.45,6186.56,8307.184,1948.649,6517.794,13169.041,5699.049,4825.521,6760.025,5066.654,5795.423,822.524,5531.512,3045.549,1241.571,4504.896,5039.77,3237.382,7726.669,5447.76,5029.991,5661.029,8333.569,6615.97
MetaCyc-pathway-040,4783.641,2323.175,3834.534,4148.544,1995.489,0,4670.687,5620.227,6149.23,7109.125,6579.668,3767.87,3707.509,5575.041,8224.846,9390.43,2663.034,4263.997,5236.228,1701.599,8627.152,3861.676,4963.5,1875.626,3396.412,4385.015,4793.841,9033.058,2477.308
MetaCyc-pathway-041,4909.28,2609.934,4513.02,2901.754,4061.648,3332.039,4159.519,7340.377,2586.358,2315.149,0,4912.992,5864.465,4537.206,3064.368,4701.965,8960.835,7438.383,0,1914.265,2539.084,3640.651,2315.771,5311.232,5548.594,3675.069,6800.274,5943.043,0
MetaCyc-pathway-042,8523.436,5232.428,8177.559,2218.106,6816.542,3844.823,2934.415,8361.984,7195.892,2993.177,3416.688,3753.808,6798.52,1576.151,3645.744,3526.58,5957.451,7035.024,8006.502,6435.519,6838.476,4532.428,10118.751,2862.787,4585.627,6705.468,4760.672,5574.746,6843.994
MetaCyc-pathway-043,2857.937,9180.491,4551.368,9970.693,4031.442,5014.516,4455.713,2003.109,672.206,6124.064,3818.371,0,0,2119.406,1144.067,4899.796,2911.097,7073.988,6003.839,0,6607.727,4023.775,7488.826,6691.316,7006.318,525.34,6190.43,4128.887,2877.265
MetaCyc-pathway-044,2925.714,4768.499,0,5051.132,4146.957,7937.262,1042.905,7106.317,7745.155,4149.381,3253.898,5430.173,3734.911,7407.233,4292.417,1844.431,5688.215,3585.964,5630.37,6360.53,0,6397.669,3254.522,5221.829,4780.667,0,4348.997,4329.964,2848.702
MetaCyc-pathway-045,6148.846,8872.097,2399.42,4750.874,1732.304,4589.952,6817.804,2812.082,4303.421,4406.353,4870.322,3043.898,5636.304,8818.399,9686.008,8735.222,8104.487,5083.09,1455.509,3561.319,1000.732,1299.299,4963.271,0,8207.081,4845.416,7458.219,2186.991,7336.205
MetaCyc-pathway-046,1838.726,6006.765,0,5457.501,9721.288,11876.119,6324.892,3988.204,6273.651,4971.09,2536.85,3905.572,6435.382,4047.502,5032.673,1557.137,1650.207,1241.673,3022.906,8545.895,6512.999,7685.254,6263.924,6745.456,118.936,5414.558,6100.327,4385.629,4219.998
MetaCyc-pathway-047,3818.027,3564.107,6549.659,4289.51,171.438,3529.041,4279.064,0,6270.901,3722.514,3785.19,5099.057,8132.113,2013.746,7345.549,1896.846,6845.109,5604.172,3084.32,2123.658,4973.122,6297.008,7447.745,4654.372,7168.037,3501.031,6268.592,2672.88,1625.195
MetaCyc-pathway-048,7901.413,3095.622,1577.682,3664.501,9288.064,4063.891,4395.12,8146.171,3217.122,8045.949,5264.597,6890.261,5774.388,6648.484,4657.822,2700.078,2640.778,0,4760.021,7887.251,4667.542,7521.223,5110.957,4012.737,4961.724,5956.056,5175.491,4818.668,5691.185
MetaCyc-pathway-049,6443.827,6402.173,2794.495,7605.722,4686.098,6184.572,6211.983,10727.662,5660.143,3171.591,3924.122,5839.374,1759.282,4229.756,4707.844,5042.062,4434.664,4186.265,9070.205,4297.951,2766.701,7825.043,3732.966,6434.169,4023.64,6127.954,6384.305,3168.412,2331.898
MetaCyc-pathway-050,5736.179,7265.163,4141.589,5770.452,4772.208,6775.191,5640.589,5339.109,2551.801,1810.884,3950.176,5755.223,6825.793,5617.68,2238.793,5782.263,7961.078,1757.613,5308.976,3799.834,5296.214,4763.816,2247.3,3314.15,2681.166,2885.372,8689.497,5109.684,0
MetaCyc-pathway-051,7197.507,3852.27,631.739,8600.526,3492.382,711.262,7558.377,5491.534,6058.98,3289.907,6180.434,9534.122,6328.536,4426.729,10088.049,8958.351,4381.416,2293.074,2774.647,8320.706,2184.866,5582.64,7369.84,7072.028,8296.836,7154.779,5766.167,5004.301,2852.959
MetaCyc-pathway-052,11292.009,1665.136,5785.145,12089.926,7130.77,6337.988,8671.478,5884.702,6921.159,477.299,6933.638,8980.111,8690.4,4909.781,666.117,5567.893,11971.672,5575.987,3372.397,3867.849,8205.26,3191.791,6297.461,4051.261,1744.185,5172.547,4728.997,7944.536,7904.433
MetaCyc-pathway-053,11905.896,5094.577,1786.829,4709.626,5895.502,2896.771,6152.15,4619.247,7121.08,0,8710.459,1173.106,5609.99,1870.496,3374.791,2909.58,369.93,13142.37,3823.243,3897.665,1562.893,3234.55,1041.739,2466.166,4000.286,10454.746,3213.941,734.148,7871.903
MetaCyc-pathway-054,4309.771,8051.672,0,2851.055,4661.013,0,0,3907.091,2956.089,8539.481,8892.048,6104.323,4278.882,7677.45,469.479,0,5699.288,6424.028,7294.923,9448.509,8005.911,7219.353,6878.205,7700.161,6970.152,9416.468,4014.684,2418.925,5171.323
MetaCyc-pathway-055,6708.549,4122.268,7393.504,5065.856,5950.802,3755.617,8543.362,2686.716,4912.139,5919.513,9126.77,4340.376,2147.537,10903.833,4203.378,4926.951,7117.744,9615.912,5780.859,4414.41,3033.137,6985.656,4442.324,5300.544,6008.063,5304.894,4386.747,5263.839,5891.202
MetaCyc-pathway-056,6072.47,2096.676,8161.653,0,2198.069,2125.697,597.779,2575.459,3863.405,6733.36,5684.664,4684.917,7564.623,5987.6,8504.154,7730.492,4384.928,3836.526,3852.615,5845.558,6073.891,3015.872,8466.178,4551.611,8277.154,1220.456,4559.808,65.151,0
MetaCyc-pathway-057,4065.277,2290.832,5259.173,7149.349,7658.268,1998.87,6750.322,9223.344,2880.27,4091.588,9196.234,3748.061,6251.607,9275.929,0,4044.314,5807.281,9607.274,7238.06,6997.458,10456.307,0,6894.098,2564.018,5189.084,6395.861,3722.805,5152.536,0
MetaCyc-pathway-058,1533.025,1149.055,1758.666,1899.348,1884.19,991.844,11035.19,4450.387,6425.367,0,2579.38,6903.094,1634.201,2906.089,4453.55,5157.374,3550.114,6163.205,8232.022,3769.134,6649.705,7419.462,6102.372,6348.978,8019.717,1322.933,5095.672,3264.343,2871.337
MetaCyc-pathway-059,6189.55,6501.024,7574.573,0,12264.632,5202.011,1878.956,4076.916,7194.654,419.189,7764.249,5771.859,5755.38,10082.623,8888.584,3595.317,2885.606,6015.347,11406.48,12120.481,7161.228,2172.486,5068.419,5791.412,1934.456,0,7158.882,3459.02,3770.287
MetaCyc-pathway-060,2340.162,7575.883,11102.213,8128.358,4695.151,5599.531,10764.408,7139.941,2132.451,4705.092,5918.289,1909.876,8928.352,747.878,6531.244,5888.759,6772.675,2621.238,0,2836.152,5852.846,3778.664,7037.916,1898.173,4502.71,0,8856.316,4647.636,7153.821
MetaCyc-pathway-061,14100.189,7575.465,9826.062,4104.649,2509.652,9556.475,8425.528,2717.833,4524.907,5137.347,2683.647,2850.709,5386.626,4956.835,1042.882,1666.101,2218.834,4639.694,1752.751,6281.517,1023.876,9212.132,7066.823,0,2567.06,6181.446,1508.458,0,10411.146
MetaCyc-pathway-062,3254.548,12040.118,4397.058,6946.409,6284.398,6398.796,4364.936,5490.581,7170.53,3360.098,8946.795,6137.603,5472.566,2853.618,4744.309,0,1512.003,3889.815,6189.427,3695.297,10342.433,4726.485,6238.619,9716.679,4312.159,6636.375,6820.272,343.006,11205.739
MetaCyc-pathway-063,9328.348,4997.281,10839.406,5593.793,2651.819,5792.45,2394.185,6348.308,8549.936,6543.556,7298.726,1023.698,1356.087,0,4091.433,6408.378,4253.497,8710.142,8227.275,0,2484.668,3142.851,5646.917,2086.387,2588.888,5005.22,1787.908,0,6783.809
MetaCyc-pathway-064,11012.447,7072.281,5399.147,2420.019,4219.001,3255.871,3037.07,8214.468,10872.225,4927.574,5401.301,11526.068,1338.473,10514.934,5146.529,7930.233,7142.294,5687.686,9548.986,4092.78,4605.768,9883.977,5435.95,1837.57,7760.656,3954.045,6924.746,6507.99,9307.022
MetaCyc-pathway-065,3404.901,8732.03,5315.033,0,2532.369,4419.102,10070.918,4312.527,2582.777,4872.228,4582.874,6783.452,10847.577,5371.362,2156.92,6172.996,5349.87,9556.167,6136.883,2049.169,4969.709,0,7977.877,6189.06,2150.411,4966.521,9426.275,11654.656,13987.461
MetaCyc-pathway-066,6974.392,5507.895,3775.705,0,2817.242,3638.642,0,3532.663,1377.871,6360.517,2804.809,3022.201,7213.76,2467.675,1737.796,4790.964,5591.103,1263.484,6486.696,1298.042,3805.169,2849.783,1481.81,1362.095,1040.805,5404.617,1322.799,5060.078,10508.228
MetaCyc-pathway-067,4446.942,5235.614,5449.804,8587.996,5022.676,6306.518,10377.065,3278.635,2736.182,2442.718,3077.196,3229.393,10321.199,10881.431,4084.245,1193.676,4056.271,4422.539,7694.869,8918.102,9317.966,12194.173,6207.678,7525.451,7698.259,3873.553,1689.818,2302.21,3966.275
MetaCyc-pathway-068,5414.872,4384.317,3881.742,3480.305,3600.848,543.156,7457.265,4178.323,10158.422,7240.785,0,2651.42,5908.004,5131.805,5870.175,5466.166,6181.203,4895.16,2977.4,7198.175,2680.058,5315.574,5170.593,1704.886,4017.659,5260.086,8798.045,5421.742,3903.937
MetaCyc-pathway-069,2334.645,1038.013,7580.344,8453.641,3138.738,5896.379,7455.507,5071.662,1851.31,5369.419,5264.362,4375.854,6152.735,7536.968,10232.573,1914.342,6395.334,570.271,2753.838,3405.723,0,4431.651,1987.832,1246.891,506.16,148.475,6419.763,6782.496,7270.034
MetaCyc-pathway-070,9406.182,3671.215,7228.068,11807.645,10973.29,5802.651,5406.982,8276.391,4728.656,4793.222,559.76,6397.558,3067.851,6198.428,330.278,43.599,11363.398,4553.698,4472.616,531.76,4981.176,4268.616,1556.534,4581.26,5960.099,3076.916,8929.482,8270.822,2548.448
MetaCyc-pathway-071,7857.807,6401.766,3584.689,5214.932,10793.872,2567.247,1240.411,4751.592,2707.377,8072.229,4358.122,1283.116,2759.503,4777.452,5991.91,3354.176,4145.406,2880.107,3565.978,3847.945,10443.595,5763.833,7535.649,4524.826,3070.796,5652.878,2444.714,7673.862,3493.576
MetaCyc-pathway-072,2993.089,3447.849,8531.031,6141.271,8832.477,4888.202,10044.869,3764.535,5496.888,6754.197,7575.92,5889.022,3040.607,6104.412,5429.029,3841.371,10454.018,616.565,3015.275,9332.037,9510.558,5647.547,4905.558,1660.021,5170.765,3259.216,165.55,4607.061,3581.058
MetaCyc-pathway-073,1568.659,962.061,2260.958,6266.159,0,1606.23,0,0,5158.899,6298.4,9221.852,4401.769,7470.229,6820.99,633.143,4230.743,5709.816,1586.506,5453.767,6011.926,2304.002,6022.432,10813.155,8326.225,0,2321.751,8385.633,4873.706,3899.324
MetaCyc-pathway-074,0,25.861,5405.358,3970.505,3047.079,2182.946,0,1202.152,352.454,7930.431,1944.552,9282.652,7666.983,4319.44,2342.68,502.486,0,9743.859,2993.288,3831.975,10113.133,7436.968,3984.909,6212.718,2655.476,5680.7,2646.384,7894.663,2688.515
MetaCyc-pathway-075,2523.982,4008.546,7838.687,3390.852,4562.623,4948.445,4862.247,5445.268,7611.668,9745.802,9117.909,7837.786,3984.915,4431.93,4011.873,7880.569,5101.452,2973.704,7054.344,5150.56,0,2451.935,2628.664,2919.285,233.804,374.831,8185.711,4166.79,6341.277
MetaCyc-pathway-076,3887.602,4586.696,5838.044,3715.886,9577.79,4750.22,11838.794,4976.633,6661.197,6778.703,1430.735,4107.748,937.09,0,2264.059,0,8265.977,10883.742,10404.544,4526.32,151.774,5133.744,7599.616,7125.143,7729.186,1598.372,890.316,6512.382,4708.358
MetaCyc-pathway-077,2067.213,7059.837,5328.198,3354.565,9161.429,5025.992,10914.317,7617.824,5986.675,1727.927,7252.545,3541.106,3879.02,5479.294,1990.17,9502.505,4795.564,3890.985,7302.612,1867.02,9174.174,10512.224,8067.585,1641.603,7105.392,7979.344,8075.038,6315.883,7976.343
MetaCyc-pathway-078,5041.818,7945.415,10416.69,3065.541,5728.91,5358.885,0,10571.697,9561.015,4683.715,5329.523,5963.887,14310.105,9547.605,3162.278,1972.62,7752.949,1691.44,7752.615,3341.982,2761.216,0,7351.732,4578.376,7633.808,4684.913,6577.979,6053.665,4921.725
MetaCyc-pathway-079,2317.162,9644.793,6548.291,6848.005,3173.78,4006.19,5130.72,5179.02,1766.452,6361.574,4478.552,6826.928,5687.513,5347.012,11019.573,5632.295,6352.13,3107.773,0,2799.96,3942.596,6359.218,2411.1,6146.007,5521.979,457.911,0,422.003,2153.251
MetaCyc-pathway-080,1649.282,8758.558,4855.46,0,3954.685,8670.201,948.184,7831.114,7630.233,5519.4,9688.406,4918.828,4374.176,2980.659,1569.039,3455.07,7303.773,11008.438,6574.238,9592.378,3370.041,2994.26,8152.58,8135.844,1347.622,923.481,5026.473,2414.341,7270.489
MetaCyc-pathway-081,2682.264,1932.013,5313.223,5736.252,1677.466,5275.292,0,3971.945,7515.672,4955.854,7581.545,476.048,8114.61,2535.568,8425.203,7468.535,5824.878,7890.236,6014.58,7087.741,2064.984,0,5978.433,8633.853,4356.534,10543.594,916.788,5904.181,5285.664
MetaCyc-pathway-082,8382.572,3810.043,5387.616,538.071,3669.718,2189.651,8590.988,7899.24,3923.565,7831.355,10480.931,7703.223,0,1756.924,11168.001,4292.03,4934.089,4442.916,5840.161,235.439,5748.107,3800.169,2434.587,3365.021,3736.786,2867.782,2314.85,6368.257,8848.567
MetaCyc-pathway-083,5302.119,7562.493,8092.888,5343.633,4173.203,4335.519,0,3688.167,5627.639,7443.666,1310.444,4435.679,10897.479,6851.33,5845.799,6086.498,8309.083,7051.658,7193.814,5201.75,797.631,3978.122,8594.449,9278.714,5584.716,7760.735,3030.076,13.297,11190.561
MetaCyc-pathway-084,2052.307,4539.775,4548.233,0,5930.534,10524.056,3075.011,4187.384,4224.242,8438.726,1628.128,2435.218,3693.131,4356.839,10044.063,8018.859,241.337,7886.08,1012.778,7340.948,5461.478,7209.64,4234.1,6871.456,3244.566,4095.528,1805.228,1012.898,9836.049
MetaCyc-pathway-085,2213.459,645.685,194.63,7182.11,3116.788,9069.287,7556.688,8353.809,5897.057,9292.766,2760.933,1686.889,5271.52,3167.554,8831.435,2499.221,5589.863,6088.744,398.147,0,10683.66,5002.396,2845.961,7038.603,2300.646,4675.367,3670.23,7166.485,7431.31
MetaCyc-pathway-086,2903.088,885.89,4535.411,6329.094,7734.789,6785.917,10954.462,4113.93,4745.32,8233.651,3206.182,1035.547,8899.457,2706.457,2664.498,9722.289,7841.689,279.766,5305.699,4355.48,8782.272,3198.349,9022.475,0,6288.679,2217.383,3380.292,3459.84,3535.969
MetaCyc-pathway-087,4016.738,5519.238,3462.951,4752.387,8975.95,0,4522.879,7056.81,672.883,342.035,3781.839,4841.98,4510.219,681.615,2966.992,4500.668,7425.466,0,2457.714,3548,3045.071,5326.438,0,4523.901,6119.936,2409.432,3932.436,3726.113,2310.424
MetaCyc-pathway-088,2545.286,3140.862,10143.06,7368.04,6725.779,4769.307,2642.764,6368.707,3659.224,4955.233,8595.238,6294.024,10195.849,5291.733,2047.669,7729.196,4393.817,4443.83,6183.845,3040.783,5314.818,4600.133,1512.963,9430.004,7335.454,5007.032,6334.186,3422.751,7192.279
