ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV0025,Bacteria,Bacteroidota,Clostridia,Clostridiales,Ruminococcaceae,Bacteroides,NA
ASV0026,Bacteria,Firmicutes,Clostridia,Clostridiales,Bacteroidaceae,Mogibacterium,NA
ASV0027,Bacteria,Actinobacteria,Clostridia,Clostridiales,Peptostreptococcaceae,Bifidobacterium,NA
ASV0028,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oribacterium,NA
ASV0029,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Oribacterium,NA
ASV0030,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Clostridium,NA
ASV0031,Bacteria,Firmicutes,Clostridia,Clostridiales,Streptococcaceae,Faecalibaculum,NA
ASV0032,Bacteria,Firmicutes,Clostridia,Clostridiales,Enterobacteriaceae,Blautia,NA
ASV0033,Bacteria,Firmicutes,Clostridia,Clostridiales,Bacteroidaceae,Faecalibaculum,NA
ASV0034,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Lachnospira,NA
ASV0035,Bacteria,Firmicutes,Clostridia,Clostridiales,Streptococcaceae,Hungatella,NA
ASV0036,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Butyrivibrio,NA
ASV0037,Bacteria,Firmicutes,Clostridia,Clostridiales,Enterobacteriaceae,Ruminococcus,NA
ASV0038,Bacteria,Actinobacteria,Clostridia,Clostridiales,Veillonellaceae,Collinsella,NA
ASV0039,Bacteria,Firmicutes,Clostridia,Clostridiales,Prevotellaceae,Mogibacterium,NA
ASV0040,Bacteria,Proteobacteria,Clostridia,Clostridiales,Coriobacteriaceae,Escherichia,NA
ASV0041,Bacteria,Firmicutes,Clostridia,Clostridiales,Coriobacteriaceae,Faecalibacterium,NA
ASV0042,Bacteria,Firmicutes,Clostridia,Clostridiales,Prevotellaceae,Dorea,NA
ASV0043,Bacteria,Proteobacteria,Clostridia,Clostridiales,Akkermansiaceae,Klebsiella,NA
ASV0044,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Erysipelatoclostridium,NA
ASV0045,Bacteria,Firmicutes,Clostridia,Clostridiales,Lactobacillaceae,Oribacterium,NA
ASV0046,Bacteria,Proteobacteria,Clostridia,Clostridiales,Ruminococcaceae,Shigella,NA
ASV0047,Bacteria,Actinobacteria,Clostridia,Clostridiales,Streptococcaceae,Coriobacterium,NA
ASV0048,Bacteria,Firmicutes,Clostridia,Clostridiales,Akkermansiaceae,Lactobacillus,NA
ASV0049,Bacteria,Firmicutes,Clostridia,Clostridiales,Erysipelotrichaceae,Oribacterium,NA
ASV0050,Bacteria,Proteobacteria,Clostridia,Clostridiales,Peptostreptococcaceae,Shigella,NA
ASV0051,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Ruminococcus,NA
ASV0052,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Intestinibacter,NA
ASV0053,Bacteria,Proteobacteria,Clostridia,Clostridiales,Akkermansiaceae,Shigella,NA
ASV0054,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Coprococcus,NA
ASV0055,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Roseburia,NA
ASV0056,Bacteria,Firmicutes,Clostridia,Clostridiales,Coriobacteriaceae,Faecalibacterium,NA
ASV0057,Bacteria,Bacteroidota,Clostridia,Clostridiales,Coriobacteriaceae,Phocaeicola,NA
ASV0058,Bacteria,Actinobacteria,Clostridia,Clostridiales,Veillonellaceae,Eggerthella,NA
ASV0059,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Lactobacillus,NA
ASV0060,Bacteria,Bacteroidota,Clostridia,Clostridiales,Bacteroidaceae,Phocaeicola,NA
ASV0061,Bacteria,Firmicutes,Clostridia,Clostridiales,Bacteroidaceae,Holdemanella,NA
ASV0062,Bacteria,Firmicutes,Clostridia,Clostridiales,Streptococcaceae,Hungatella,NA
ASV0063,Bacteria,Firmicutes,Clostridia,Clostridiales,Coriobacteriaceae,Faecalibaculum,NA
ASV0064,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,NA
ASV0065,Bacteria,Firmicutes,Clostridia,Clostridiales,Bacteroidaceae,Holdemanella,NA
ASV0066,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Oribacterium,NA
ASV0067,Bacteria,Firmicutes,Clostridia,Clostridiales,Erysipelotrichaceae,Mediterraneibacter,NA
ASV0068,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Mediterraneibacter,NA
ASV0069,Bacteria,Firmicutes,Clostridia,Clostridiales,Prevotellaceae,Coprococcus,NA
ASV0070,Bacteria,Firmicutes,Clostridia,Clostridiales,Akkermansiaceae,Coprococcus,NA
ASV0071,Bacteria,Actinobacteria,Clostridia,Clostridiales,Prevotellaceae,Bifidobacterium,NA
ASV0072,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Streptococcus,NA
ASV0073,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Holdemanella,NA
ASV0074,Bacteria,Firmicutes,Clostridia,Clostridiales,Streptococcaceae,Butyrivibrio,NA
ASV0075,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,NA
ASV0076,Bacteria,Firmicutes,Clostridia,Clostridiales,Akkermansiaceae,Dorea,NA
ASV0077,Bacteria,Firmicutes,Clostridia,Clostridiales,Streptococcaceae,Oribacterium,NA
ASV0078,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,NA
ASV0079,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Butyrivibrio,NA
ASV0080,Bacteria,Firmicutes,Clostridia,Clostridiales,Enterobacteriaceae,Ruminococcus,NA
ASV0081,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Streptococcus,NA
ASV0082,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Hungatella,NA
ASV0083,Bacteria,Firmicutes,Clostridia,Clostridiales,Enterobacteriaceae,Clostridium,NA
ASV0084,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Clostridium,NA
ASV0085,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Lactobacillus,NA
ASV0086,Bacteria,Bacteroidota,Clostridia,Clostridiales,Peptostreptococcaceae,Prevotella,NA
ASV0087,Bacteria,Firmicutes,Clostridia,Clostridiales,Coriobacteriaceae,Erysipelatoclostridium,NA
ASV0088,Bacteria,Firmicutes,Clostridia,Clostridiales,Coriobacteriaceae,Mogibacterium,NA
ASV0089,Bacteria,Firmicutes,Clostridia,Clostridiales,Streptococcaceae,Mogibacterium,NA
ASV0090,Bacteria,Proteobacteria,Clostridia,Clostridiales,Bifidobacteriaceae,Shigella,NA
ASV0091,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hungatella,NA
ASV0092,Bacteria,Firmicutes,Clostridia,Clostridiales,Streptococcaceae,Mogibacterium,NA
ASV0093,Bacteria,Proteobacteria,Clostridia,Clostridiales,Enterobacteriaceae,Klebsiella,NA
ASV0094,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Hungatella,NA
ASV0095,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Lachnospira,NA
ASV0096,Bacteria,Firmicutes,Clostridia,Clostridiales,Erysipelotrichaceae,Dorea,NA
ASV0097,Bacteria,Actinobacteria,Clostridia,Clostridiales,Peptostreptococcaceae,Slackia,NA
ASV0098,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Veillonella,NA
ASV0099,Bacteria,Actinobacteria,Clostridia,Clostridiales,Erysipelotrichaceae,Slackia,NA
ASV0100,Bacteria,Firmicutes,Clostridia,Clostridiales,Bacteroidaceae,Megamonas,NA
ASV0101,Bacteria,Firmicutes,Clostridia,Clostridiales,Erysipelotrichaceae,Blautia,NA
ASV0102,Bacteria,Firmicutes,Clostridia,Clostridiales,Streptococcaceae,Mediterraneibacter,NA
ASV0103,Bacteria,Firmicutes,Clostridia,Clostridiales,Enterobacteriaceae,Oribacterium,NA
ASV0104,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Lachnoclostridium,NA
ASV0105,Bacteria,Bacteroidota,Clostridia,Clostridiales,Veillonellaceae,Prevotella,NA
ASV0106,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Ruminococcus,NA
ASV0107,Bacteria,Firmicutes,Clostridia,Clostridiales,Enterobacteriaceae,Hungatella,NA
ASV0108,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalibaculum,NA
ASV0109,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Holdemanella,NA
ASV0110,Bacteria,Actinobacteria,Clostridia,Clostridiales,Veillonellaceae,Coriobacterium,NA
ASV0111,Bacteria,Verrucomicrobiota,Clostridia,Clostridiales,Enterobacteriaceae,Akkermansia,NA
ASV0112,Bacteria,Firmicutes,Clostridia,Clostridiales,Prevotellaceae,Dorea,NA
ASV0113,Bacteria,Firmicutes,Clostridia,Clostridiales,Streptococcaceae,Faecalibaculum,NA
ASV0114,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Erysipelatoclostridium,NA
ASV0115,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Romboutsia,NA
ASV0116,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Veillonella,NA
ASV0117,Bacteria,Firmicutes,Clostridia,Clostridiales,Akkermansiaceae,Mogibacterium,NA
ASV0118,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Intestinibacter,NA
ASV0119,Bacteria,Firmicutes,Clostridia,Clostridiales,Akkermansiaceae,Dorea,NA
ASV0120,Bacteria,Bacteroidota,Clostridia,Clostridiales,Akkermansiaceae,Alistipes,NA
ASV0121,Bacteria,Verrucomicrobiota,Clostridia,Clostridiales,Veillonellaceae,Akkermansia,NA
ASV0122,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,NA
ASV0123,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Lachnospira,NA
ASV0124,Bacteria,Proteobacteria,Clostridia,Clostridiales,Lactobacillaceae,Escherichia,NA
ASV0125,Bacteria,Actinobacteria,Clostridia,Clostridiales,Enterobacteriaceae,Coriobacterium,NA
ASV0126,Bacteria,Bacteroidota,Clostridia,Clostridiales,Veillonellaceae,Parabacteroides,NA
ASV0127,Bacteria,Proteobacteria,Clostridia,Clostridiales,Veillonellaceae,Klebsiella,NA
ASV0128,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Dialister,NA
ASV0129,Bacteria,Proteobacteria,Clostridia,Clostridiales,Prevotellaceae,Klebsiella,NA
ASV0130,Bacteria,Firmicutes,Clostridia,Clostridiales,Akkermansiaceae,Oribacterium,NA
ASV0131,Bacteria,Proteobacteria,Clostridia,Clostridiales,Akkermansiaceae,Escherichia,NA
ASV0132,Bacteria,Actinobacteria,Clostridia,Clostridiales,Streptococcaceae,Eggerthella,NA
ASV0133,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Lachnospira,NA
ASV0134,Bacteria,Bacteroidota,Clostridia,Clostridiales,Erysipelotrichaceae,Prevotella,NA
ASV0135,Bacteria,Bacteroidota,Clostridia,Clostridiales,Lachnospiraceae,Alistipes,NA
ASV0136,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Faecalibaculum,NA
ASV0137,Bacteria,Firmicutes,Clostridia,Clostridiales,Erysipelotrichaceae,Lactobacillus,NA
ASV0138,Bacteria,Actinobacteria,Clostridia,Clostridiales,Akkermansiaceae,Eggerthella,NA
ASV0139,Bacteria,Firmicutes,Clostridia,Clostridiales,Prevotellaceae,Holdemanella,NA
ASV0140,Bacteria,Firmicutes,Clostridia,Clostridiales,Akkermansiaceae,Oribacterium,NA
ASV0141,Bacteria,Actinobacteria,Clostridia,Clostridiales,Akkermansiaceae,Bifidobacterium,NA
ASV0142,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Hungatella,NA
ASV0143,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Mogibacterium,NA
ASV0144,Bacteria,Actinobacteria,Clostridia,Clostridiales,Coriobacteriaceae,Eggerthella,NA
ASV0145,Bacteria,Actinobacteria,Clostridia,Clostridiales,Enterobacteriaceae,Bifidobacterium,NA
ASV0146,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Veillonella,NA
ASV0147,Bacteria,Bacteroidota,Clostridia,Clostridiales,Bifidobacteriaceae,Prevotella,NA
ASV0148,Bacteria,Firmicutes,Clostridia,Clostridiales,Prevotellaceae,Butyrivibrio,NA
ASV0149,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Lachnoclostridium,NA
ASV0150,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dorea,NA
ASV0151,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Butyrivibrio,NA
ASV0152,Bacteria,Bacteroidota,Clostridia,Clostridiales,Bifidobacteriaceae,Bacteroides,NA
ASV0153,Bacteria,Firmicutes,Clostridia,Clostridiales,Prevotellaceae,Roseburia,NA
ASV0154,Bacteria,Firmicutes,Clostridia,Clostridiales,Streptococcaceae,Dorea,NA
ASV0155,Bacteria,Firmicutes,Clostridia,Clostridiales,Enterobacteriaceae,Erysipelatoclostridium,NA
ASV0156,Bacteria,Verrucomicrobiota,Clostridia,Clostridiales,Prevotellaceae,Akkermansia,NA
ASV0157,Bacteria,Firmicutes,Clostridia,Clostridiales,Erysipelotrichaceae,Blautia,NA
ASV0158,Bacteria,Bacteroidota,Clostridia,Clostridiales,Bifidobacteriaceae,Parabacteroides,NA
ASV0159,Bacteria,Actinobacteria,Clostridia,Clostridiales,Veillonellaceae,Bifidobacterium,NA
ASV0160,Bacteria,Actinobacteria,Clostridia,Clostridiales,Prevotellaceae,Bifidobacterium,NA
ASV0161,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mogibacterium,NA
ASV0162,Bacteria,Proteobacteria,Clostridia,Clostridiales,Peptostreptococcaceae,Shigella,NA
ASV0163,Bacteria,Firmicutes,Clostridia,Clostridiales,Bifidobacteriaceae,Coprococcus,NA
ASV0164,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibaculum,NA
ASV0165,Bacteria,Firmicutes,Clostridia,Clostridiales,Prevotellaceae,Mediterraneibacter,NA
ASV0166,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Lactobacillus,NA
ASV0167,Bacteria,Proteobacteria,Clostridia,Clostridiales,Streptococcaceae,Escherichia,NA
ASV0168,Bacteria,Proteobacteria,Clostridia,Clostridiales,Lachnospiraceae,Klebsiella,NA
ASV0169,Bacteria,Firmicutes,Clostridia,Clostridiales,Akkermansiaceae,Erysipelatoclostridium,NA
ASV0170,Bacteria,Bacteroidota,Clostridia,Clostridiales,Veillonellaceae,Phocaeicola,NA
ASV0171,Bacteria,Proteobacteria,Clostridia,Clostridiales,Clostridiaceae,Shigella,NA
ASV0172,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Holdemanella,NA
ASV0173,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyrivibrio,NA
ASV0174,Bacteria,Proteobacteria,Clostridia,Clostridiales,Bacteroidaceae,Klebsiella,NA
ASV0175,Bacteria,Firmicutes,Clostridia,Clostridiales,Lactobacillaceae,Dorea,NA
ASV0176,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Veillonella,NA
ASV0177,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Mogibacterium,NA
ASV0178,Bacteria,Actinobacteria,Clostridia,Clostridiales,Ruminococcaceae,Adlercreutzia,NA
ASV0179,Bacteria,Firmicutes,Clostridia,Clostridiales,Bacteroidaceae,Megamonas,NA
ASV0180,Bacteria,Verrucomicrobiota,Clostridia,Clostridiales,Akkermansiaceae,Akkermansia,NA
ASV0181,Bacteria,Firmicutes,Clostridia,Clostridiales,Enterobacteriaceae,Clostridium,NA
ASV0182,Bacteria,Firmicutes,Clostridia,Clostridiales,Bacteroidaceae,Ruminococcus,NA
ASV0183,Bacteria,Firmicutes,Clostridia,Clostridiales,Enterobacteriaceae,Faecalibaculum,NA
ASV0184,Bacteria,Actinobacteria,Clostridia,Clostridiales,Erysipelotrichaceae,Bifidobacterium,NA
ASV0185,Bacteria,Firmicutes,Clostridia,Clostridiales,Lactobacillaceae,Butyrivibrio,NA
ASV0186,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Dorea,NA
ASV0187,Bacteria,Actinobacteria,Clostridia,Clostridiales,Lachnospiraceae,Bifidobacterium,NA
ASV0188,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Lactobacillus,NA
ASV0189,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Blautia,NA
ASV0190,Bacteria,Firmicutes,Clostridia,Clostridiales,Bacteroidaceae,Intestinibacter,NA
ASV0191,Bacteria,Firmicutes,Clostridia,Clostridiales,Coriobacteriaceae,Blautia,NA
ASV0192,Bacteria,Proteobacteria,Clostridia,Clostridiales,Bifidobacteriaceae,Shigella,NA
ASV0193,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Dorea,NA
ASV0194,Bacteria,Firmicutes,Clostridia,Clostridiales,Coriobacteriaceae,Blautia,NA
ASV0195,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,NA
ASV0196,Bacteria,Firmicutes,Clostridia,Clostridiales,Coriobacteriaceae,Peptostreptococcus,NA
ASV0197,Bacteria,Bacteroidota,Clostridia,Clostridiales,Akkermansiaceae,Alistipes,NA
ASV0198,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Faecalibacterium,NA
ASV0199,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Romboutsia,NA
ASV0200,Bacteria,Firmicutes,Clostridia,Clostridiales,Streptococcaceae,Mogibacterium,NA
